team,wins,losses,year,score,conceded
Czechoslovakia,3.0,2.0,1962,7.0,7.0
England,1.0,2.0,1962,5.0,6.0
Germany,2.0,1.0,1962,4.0,2.0
Hungary,2.0,1.0,1962,8.0,3.0
Italy,1.0,1.0,1962,3.0,2.0
Mexico,1.0,2.0,1962,3.0,4.0
Russia,2.0,1.0,1962,9.0,7.0
Spain,1.0,2.0,1962,2.0,3.0
Switzerland,0.0,3.0,1962,2.0,8.0
Uruguay,1.0,2.0,1962,4.0,6.0
Yugoslavia,3.0,3.0,1962,10.0,7.0
Argentina,2.0,1.0,1966,4.0,2.0
Brazil,1.0,2.0,1966,4.0,6.0
Bulgaria,0.0,3.0,1966,1.0,8.0
Chile,0.0,2.0,1966,2.0,5.0
England,5.0,0.0,1966,11.0,3.0
France,0.0,2.0,1966,2.0,5.0
Germany,4.0,1.0,1966,15.0,6.0
Hungary,2.0,2.0,1966,8.0,7.0
Italy,1.0,2.0,1966,2.0,2.0
Mexico,0.0,1.0,1966,1.0,3.0
North Korea,1.0,2.0,1966,5.0,9.0
Portugal,5.0,1.0,1966,17.0,8.0
Russia,4.0,2.0,1966,10.0,6.0
Spain,1.0,2.0,1966,4.0,5.0
Switzerland,0.0,3.0,1966,1.0,9.0
Uruguay,1.0,1.0,1966,2.0,5.0
Belgium,1.0,2.0,1970,4.0,5.0
Brazil,6.0,0.0,1970,19.0,7.0
Bulgaria,0.0,2.0,1970,5.0,9.0
Czechoslovakia,0.0,3.0,1970,2.0,7.0
El Salvador,0.0,3.0,1970,0.0,9.0
England,2.0,2.0,1970,4.0,4.0
Germany,5.0,1.0,1970,17.0,10.0
Israel,0.0,1.0,1970,1.0,3.0
Italy,3.0,1.0,1970,10.0,8.0
Mexico,2.0,1.0,1970,6.0,4.0
Morocco,0.0,2.0,1970,2.0,6.0
Peru,2.0,2.0,1970,9.0,9.0
Romania,1.0,2.0,1970,4.0,5.0
Russia,2.0,1.0,1970,6.0,2.0
Sweden,1.0,1.0,1970,2.0,2.0
Uruguay,2.0,3.0,1970,4.0,5.0
Argentina,1.0,3.0,1974,9.0,12.0
Australia,0.0,2.0,1974,0.0,5.0
Brazil,3.0,2.0,1974,6.0,4.0
Bulgaria,0.0,1.0,1974,2.0,5.0
Chile,0.0,1.0,1974,1.0,2.0
DR Congo,0.0,3.0,1974,0.0,14.0
German DR,2.0,2.0,1974,5.0,5.0
Germany,6.0,1.0,1974,13.0,4.0
Haiti,0.0,3.0,1974,2.0,14.0
Italy,1.0,1.0,1974,5.0,4.0
Netherlands,5.0,1.0,1974,15.0,3.0
Poland,6.0,1.0,1974,16.0,5.0
Scotland,1.0,0.0,1974,3.0,1.0
Sweden,2.0,2.0,1974,7.0,6.0
Uruguay,0.0,2.0,1974,1.0,6.0
Yugoslavia,1.0,3.0,1974,12.0,7.0
Argentina,5.0,1.0,1978,15.0,4.0
Austria,3.0,3.0,1978,7.0,10.0
Brazil,4.0,0.0,1978,10.0,3.0
France,1.0,2.0,1978,5.0,5.0
Germany,1.0,1.0,1978,10.0,5.0
Hungary,0.0,3.0,1978,3.0,8.0
Iran,0.0,2.0,1978,2.0,8.0
Italy,4.0,2.0,1978,9.0,6.0
Mexico,0.0,3.0,1978,2.0,12.0
Netherlands,3.0,2.0,1978,15.0,10.0
Peru,2.0,3.0,1978,7.0,12.0
Poland,3.0,2.0,1978,6.0,6.0
Scotland,1.0,1.0,1978,5.0,6.0
Spain,1.0,1.0,1978,2.0,2.0
Sweden,0.0,2.0,1978,1.0,3.0
Tunisia,1.0,1.0,1978,3.0,2.0
Algeria,2.0,1.0,1982,5.0,5.0
Argentina,2.0,3.0,1982,8.0,7.0
Austria,2.0,2.0,1982,5.0,4.0
Belgium,2.0,2.0,1982,3.0,5.0
Brazil,4.0,1.0,1982,15.0,6.0
Cameroon,0.0,0.0,1982,1.0,1.0
Chile,0.0,3.0,1982,3.0,8.0
Czechoslovakia,0.0,1.0,1982,2.0,4.0
El Salvador,0.0,3.0,1982,1.0,13.0
England,3.0,0.0,1982,6.0,1.0
France,3.0,2.0,1982,16.0,12.0
Germany,3.0,2.0,1982,12.0,10.0
Honduras,0.0,1.0,1982,2.0,3.0
Hungary,1.0,1.0,1982,12.0,6.0
Italy,4.0,0.0,1982,12.0,6.0
Kuwait,0.0,2.0,1982,2.0,6.0
New Zealand,0.0,3.0,1982,2.0,12.0
Northern Ireland,1.0,1.0,1982,5.0,7.0
Peru,0.0,1.0,1982,2.0,6.0
Poland,3.0,1.0,1982,11.0,5.0
Russia,2.0,1.0,1982,7.0,4.0
Scotland,1.0,1.0,1982,8.0,8.0
Spain,1.0,2.0,1982,4.0,5.0
Yugoslavia,1.0,1.0,1982,2.0,2.0
Algeria,0.0,2.0,1986,1.0,5.0
Argentina,6.0,0.0,1986,14.0,5.0
Belgium,2.0,3.0,1986,12.0,15.0
Brazil,4.0,0.0,1986,10.0,1.0
Bulgaria,0.0,2.0,1986,2.0,6.0
Canada,0.0,3.0,1986,0.0,5.0
Denmark,3.0,1.0,1986,10.0,6.0
England,2.0,2.0,1986,7.0,3.0
France,4.0,1.0,1986,12.0,6.0
Germany,3.0,2.0,1986,8.0,7.0
Hungary,1.0,2.0,1986,2.0,9.0
Iraq,0.0,3.0,1986,1.0,4.0
Italy,1.0,1.0,1986,5.0,6.0
Mexico,3.0,0.0,1986,6.0,2.0
Morocco,1.0,1.0,1986,3.0,2.0
Northern Ireland,0.0,2.0,1986,2.0,6.0
Paraguay,1.0,1.0,1986,4.0,6.0
Poland,1.0,2.0,1986,1.0,7.0
Portugal,1.0,2.0,1986,2.0,4.0
Russia,2.0,1.0,1986,12.0,5.0
Scotland,0.0,2.0,1986,1.0,3.0
South Korea,0.0,2.0,1986,4.0,7.0
Spain,3.0,1.0,1986,11.0,4.0
Uruguay,0.0,2.0,1986,2.0,8.0
Argentina,2.0,2.0,1990,5.0,4.0
Austria,1.0,2.0,1990,2.0,3.0
Belgium,2.0,2.0,1990,6.0,4.0
Brazil,3.0,1.0,1990,4.0,2.0
Cameroon,3.0,2.0,1990,7.0,9.0
Colombia,1.0,2.0,1990,4.0,4.0
Costa Rica,2.0,2.0,1990,4.0,6.0
Czechoslovakia,3.0,2.0,1990,10.0,5.0
Egypt,0.0,1.0,1990,1.0,2.0
England,3.0,1.0,1990,8.0,6.0
Germany,5.0,0.0,1990,15.0,5.0
Italy,6.0,0.0,1990,10.0,2.0
Netherlands,0.0,1.0,1990,3.0,4.0
Republic of Ireland,0.0,1.0,1990,2.0,3.0
Romania,1.0,1.0,1990,4.0,3.0
Russia,1.0,2.0,1990,4.0,4.0
Scotland,1.0,2.0,1990,2.0,3.0
South Korea,0.0,3.0,1990,1.0,6.0
Spain,2.0,1.0,1990,6.0,4.0
Sweden,0.0,3.0,1990,3.0,6.0
United Arab Emirates,0.0,3.0,1990,2.0,11.0
United States,0.0,3.0,1990,2.0,8.0
Uruguay,1.0,2.0,1990,2.0,5.0
Yugoslavia,3.0,1.0,1990,8.0,6.0
Argentina,2.0,2.0,1994,8.0,6.0
Belgium,2.0,2.0,1994,4.0,4.0
Bolivia,0.0,2.0,1994,1.0,4.0
Brazil,5.0,0.0,1994,11.0,3.0
Bulgaria,3.0,3.0,1994,10.0,11.0
Cameroon,0.0,2.0,1994,3.0,11.0
Colombia,1.0,2.0,1994,4.0,5.0
Germany,3.0,1.0,1994,9.0,7.0
Greece,0.0,3.0,1994,0.0,10.0
Italy,4.0,1.0,1994,8.0,5.0
Mexico,1.0,1.0,1994,4.0,4.0
Morocco,0.0,3.0,1994,2.0,5.0
Netherlands,3.0,2.0,1994,8.0,6.0
Nigeria,2.0,2.0,1994,7.0,4.0
Norway,1.0,1.0,1994,1.0,1.0
Republic of Ireland,1.0,2.0,1994,2.0,4.0
Romania,3.0,1.0,1994,10.0,9.0
Russia,1.0,2.0,1994,7.0,6.0
Saudi Arabia,2.0,2.0,1994,5.0,6.0
South Korea,0.0,1.0,1994,4.0,5.0
Spain,2.0,1.0,1994,10.0,6.0
Sweden,3.0,1.0,1994,15.0,8.0
Switzerland,1.0,2.0,1994,5.0,7.0
United States,1.0,2.0,1994,3.0,4.0
Argentina,3.0,1.0,1998,10.0,4.0
Austria,0.0,1.0,1998,3.0,4.0
Belgium,0.0,0.0,1998,3.0,3.0
Brazil,4.0,2.0,1998,14.0,10.0
Bulgaria,0.0,2.0,1998,1.0,7.0
Cameroon,0.0,1.0,1998,2.0,5.0
Chile,0.0,1.0,1998,5.0,8.0
Colombia,1.0,2.0,1998,1.0,3.0
Croatia,5.0,2.0,1998,11.0,5.0
Denmark,2.0,2.0,1998,9.0,7.0
England,2.0,1.0,1998,7.0,4.0
France,6.0,0.0,1998,15.0,2.0
Germany,3.0,1.0,1998,8.0,6.0
Iran,1.0,2.0,1998,2.0,4.0
Italy,3.0,0.0,1998,8.0,3.0
Jamaica,1.0,2.0,1998,3.0,9.0
Japan,0.0,3.0,1998,1.0,4.0
Mexico,1.0,1.0,1998,8.0,7.0
Morocco,1.0,1.0,1998,5.0,5.0
Netherlands,3.0,1.0,1998,13.0,7.0
Nigeria,2.0,2.0,1998,6.0,9.0
Norway,1.0,1.0,1998,5.0,5.0
Paraguay,1.0,1.0,1998,3.0,2.0
Romania,2.0,1.0,1998,4.0,3.0
Saudi Arabia,0.0,2.0,1998,2.0,7.0
Scotland,0.0,2.0,1998,2.0,6.0
Serbia,2.0,1.0,1998,5.0,4.0
South Africa,0.0,1.0,1998,3.0,6.0
South Korea,0.0,2.0,1998,2.0,9.0
Spain,1.0,1.0,1998,8.0,4.0
Tunisia,0.0,2.0,1998,1.0,4.0
United States,0.0,3.0,1998,1.0,5.0
Argentina,1.0,1.0,2002,2.0,2.0
Belgium,1.0,1.0,2002,6.0,7.0
Brazil,7.0,0.0,2002,18.0,4.0
Cameroon,1.0,1.0,2002,2.0,3.0
China PR,0.0,3.0,2002,0.0,9.0
Costa Rica,1.0,1.0,2002,5.0,6.0
Croatia,1.0,2.0,2002,2.0,3.0
Denmark,2.0,1.0,2002,5.0,5.0
Ecuador,1.0,2.0,2002,2.0,4.0
England,2.0,1.0,2002,6.0,3.0
France,0.0,2.0,2002,0.0,3.0
Germany,5.0,1.0,2002,14.0,3.0
Italy,1.0,2.0,2002,5.0,5.0
Japan,2.0,1.0,2002,5.0,3.0
Mexico,2.0,1.0,2002,4.0,4.0
Nigeria,0.0,2.0,2002,1.0,3.0
Paraguay,1.0,2.0,2002,6.0,7.0
Poland,1.0,2.0,2002,3.0,7.0
Portugal,1.0,2.0,2002,6.0,4.0
Republic of Ireland,1.0,0.0,2002,6.0,3.0
Russia,1.0,2.0,2002,4.0,4.0
Saudi Arabia,0.0,3.0,2002,0.0,12.0
Senegal,2.0,1.0,2002,7.0,6.0
Slovenia,0.0,3.0,2002,2.0,7.0
South Africa,1.0,1.0,2002,5.0,5.0
South Korea,3.0,2.0,2002,8.0,6.0
Spain,3.0,0.0,2002,10.0,5.0
Sweden,1.0,1.0,2002,5.0,5.0
Tunisia,0.0,2.0,2002,1.0,5.0
Turkey,4.0,2.0,2002,10.0,6.0
United States,2.0,2.0,2002,7.0,7.0
Uruguay,0.0,1.0,2002,4.0,5.0
Angola,0.0,1.0,2006,1.0,2.0
Argentina,3.0,0.0,2006,11.0,3.0
Australia,1.0,2.0,2006,5.0,6.0
Brazil,4.0,1.0,2006,10.0,2.0
Costa Rica,0.0,3.0,2006,3.0,9.0
Croatia,0.0,1.0,2006,2.0,3.0
Czech Republic,1.0,2.0,2006,3.0,4.0
Ecuador,2.0,2.0,2006,5.0,4.0
England,3.0,0.0,2006,6.0,2.0
France,4.0,0.0,2006,9.0,3.0
Germany,5.0,1.0,2006,14.0,6.0
Ghana,2.0,2.0,2006,4.0,6.0
Iran,0.0,2.0,2006,2.0,6.0
Italy,5.0,0.0,2006,12.0,2.0
Ivory Coast,1.0,2.0,2006,5.0,6.0
Japan,0.0,2.0,2006,2.0,7.0
Mexico,1.0,2.0,2006,5.0,5.0
Netherlands,2.0,1.0,2006,3.0,2.0
Paraguay,1.0,2.0,2006,2.0,2.0
Poland,1.0,2.0,2006,2.0,4.0
Portugal,4.0,2.0,2006,7.0,5.0
Saudi Arabia,0.0,2.0,2006,2.0,7.0
Serbia,0.0,3.0,2006,2.0,10.0
South Korea,1.0,1.0,2006,3.0,4.0
Spain,3.0,1.0,2006,9.0,4.0
Sweden,1.0,1.0,2006,3.0,4.0
Switzerland,2.0,0.0,2006,4.0,0.0
Togo,0.0,3.0,2006,1.0,6.0
Trinidad and Tobago,0.0,2.0,2006,0.0,4.0
Tunisia,0.0,2.0,2006,3.0,6.0
Ukraine,2.0,2.0,2006,5.0,7.0
United States,0.0,2.0,2006,2.0,6.0
Algeria,0.0,2.0,2010,0.0,2.0
Argentina,4.0,1.0,2010,10.0,6.0
Australia,1.0,1.0,2010,3.0,6.0
Brazil,3.0,1.0,2010,9.0,4.0
Cameroon,0.0,3.0,2010,2.0,5.0
Chile,2.0,2.0,2010,3.0,5.0
Denmark,1.0,2.0,2010,3.0,6.0
England,1.0,1.0,2010,3.0,5.0
France,0.0,2.0,2010,1.0,4.0
Germany,5.0,2.0,2010,16.0,5.0
Ghana,2.0,1.0,2010,5.0,4.0
Greece,1.0,2.0,2010,2.0,5.0
Honduras,0.0,2.0,2010,0.0,3.0
Italy,0.0,1.0,2010,4.0,5.0
Ivory Coast,1.0,1.0,2010,4.0,3.0
Japan,2.0,1.0,2010,4.0,2.0
Mexico,1.0,2.0,2010,4.0,5.0
Netherlands,6.0,1.0,2010,12.0,6.0
New Zealand,0.0,0.0,2010,2.0,2.0
Nigeria,0.0,2.0,2010,3.0,5.0
North Korea,0.0,3.0,2010,1.0,12.0
Paraguay,1.0,1.0,2010,3.0,2.0
Portugal,1.0,1.0,2010,7.0,1.0
Serbia,1.0,2.0,2010,2.0,3.0
Slovakia,1.0,2.0,2010,5.0,7.0
Slovenia,1.0,1.0,2010,3.0,3.0
South Africa,1.0,1.0,2010,3.0,5.0
South Korea,1.0,2.0,2010,6.0,8.0
Spain,6.0,1.0,2010,8.0,2.0
Switzerland,1.0,1.0,2010,1.0,1.0
United States,1.0,1.0,2010,5.0,5.0
Uruguay,3.0,2.0,2010,11.0,8.0
Algeria,1.0,2.0,2014,7.0,7.0
Argentina,5.0,1.0,2014,8.0,4.0
Australia,0.0,3.0,2014,3.0,9.0
Belgium,4.0,1.0,2014,6.0,3.0
Bosnia and Herzegovina,1.0,2.0,2014,4.0,4.0
Brazil,3.0,2.0,2014,11.0,14.0
Cameroon,0.0,3.0,2014,1.0,9.0
Chile,2.0,1.0,2014,6.0,4.0
Colombia,4.0,1.0,2014,12.0,4.0
Costa Rica,2.0,0.0,2014,5.0,2.0
Croatia,1.0,2.0,2014,6.0,6.0
Ecuador,1.0,1.0,2014,3.0,3.0
England,0.0,2.0,2014,2.0,4.0
France,3.0,1.0,2014,10.0,3.0
Germany,6.0,0.0,2014,18.0,4.0
Ghana,0.0,2.0,2014,4.0,6.0
Greece,1.0,1.0,2014,3.0,5.0
Honduras,0.0,3.0,2014,1.0,8.0
Iran,0.0,2.0,2014,1.0,4.0
Italy,1.0,2.0,2014,2.0,3.0
Ivory Coast,1.0,2.0,2014,4.0,5.0
Japan,0.0,2.0,2014,2.0,6.0
Mexico,2.0,1.0,2014,5.0,3.0
Netherlands,5.0,0.0,2014,15.0,4.0
Nigeria,1.0,2.0,2014,3.0,5.0
Portugal,1.0,1.0,2014,4.0,7.0
Russia,0.0,1.0,2014,2.0,3.0
South Korea,0.0,2.0,2014,3.0,6.0
Spain,1.0,2.0,2014,4.0,7.0
Switzerland,2.0,2.0,2014,7.0,7.0
United States,1.0,2.0,2014,5.0,6.0
Uruguay,2.0,2.0,2014,4.0,6.0
Argentina,1.0,2.0,2018,6.0,9.0
Australia,0.0,2.0,2018,2.0,5.0
Belgium,6.0,1.0,2018,16.0,6.0
Brazil,3.0,1.0,2018,8.0,3.0
Colombia,2.0,1.0,2018,6.0,3.0
Costa Rica,0.0,2.0,2018,2.0,5.0
Croatia,4.0,1.0,2018,14.0,9.0
Denmark,1.0,0.0,2018,3.0,2.0
Egypt,0.0,3.0,2018,2.0,6.0
England,3.0,3.0,2018,12.0,8.0
France,6.0,0.0,2018,14.0,6.0
Germany,1.0,2.0,2018,2.0,4.0
Iceland,0.0,2.0,2018,2.0,5.0
Iran,1.0,1.0,2018,2.0,2.0
Japan,1.0,2.0,2018,6.0,7.0
Mexico,2.0,2.0,2018,3.0,6.0
Morocco,0.0,2.0,2018,2.0,4.0
Nigeria,1.0,2.0,2018,3.0,4.0
Panama,0.0,3.0,2018,2.0,11.0
Peru,1.0,2.0,2018,2.0,2.0
Poland,1.0,2.0,2018,2.0,5.0
Portugal,1.0,1.0,2018,6.0,6.0
Russia,2.0,1.0,2018,11.0,7.0
Saudi Arabia,1.0,2.0,2018,2.0,7.0
Senegal,1.0,1.0,2018,4.0,4.0
Serbia,1.0,2.0,2018,2.0,4.0
South Korea,1.0,2.0,2018,3.0,3.0
Spain,1.0,0.0,2018,7.0,6.0
Sweden,3.0,2.0,2018,6.0,4.0
Switzerland,1.0,1.0,2018,5.0,5.0
Tunisia,1.0,2.0,2018,5.0,8.0
Uruguay,4.0,1.0,2018,7.0,3.0
Argentina,2.0,1.0,2022,5.0,2.0
Australia,2.0,1.0,2022,3.0,4.0
Belgium,1.0,1.0,2022,1.0,2.0
Brazil,2.0,0.0,2022,3.0,0.0
Cameroon,0.0,1.0,2022,3.0,4.0
Canada,0.0,3.0,2022,2.0,7.0
Costa Rica,1.0,2.0,2022,3.0,11.0
Croatia,1.0,0.0,2022,4.0,1.0
Denmark,0.0,2.0,2022,1.0,3.0
Ecuador,1.0,1.0,2022,4.0,3.0
England,2.0,0.0,2022,9.0,2.0
France,2.0,1.0,2022,6.0,3.0
Germany,1.0,1.0,2022,6.0,5.0
Ghana,1.0,1.0,2022,5.0,5.0
Iran,1.0,2.0,2022,4.0,7.0
Japan,2.0,1.0,2022,4.0,3.0
Mexico,1.0,1.0,2022,2.0,3.0
Morocco,2.0,0.0,2022,4.0,1.0
Netherlands,2.0,0.0,2022,5.0,1.0
Poland,1.0,1.0,2022,2.0,2.0
Portugal,2.0,0.0,2022,5.0,2.0
Qatar,0.0,3.0,2022,1.0,7.0
Saudi Arabia,1.0,2.0,2022,3.0,5.0
Senegal,2.0,1.0,2022,5.0,4.0
Serbia,0.0,1.0,2022,3.0,5.0
South Korea,0.0,1.0,2022,2.0,3.0
Spain,1.0,1.0,2022,9.0,3.0
Switzerland,1.0,1.0,2022,1.0,1.0
Tunisia,1.0,1.0,2022,1.0,1.0
United States,1.0,0.0,2022,2.0,1.0
Uruguay,0.0,1.0,2022,0.0,2.0
Wales,0.0,2.0,2022,1.0,6.0
