,year,Algeria,Angola,Argentina,Australia,Austria,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China PR,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Czechoslovakia,DR Congo,Denmark,Ecuador,Egypt,El Salvador,England,France,German DR,Germany,Ghana,Greece,Haiti,Honduras,Hungary,Iceland,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Japan,Kuwait,Mexico,Morocco,Netherlands,New Zealand,Nigeria,North Korea,Northern Ireland,Norway,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Republic of Ireland,Romania,Russia,Saudi Arabia,Scotland,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United States,Uruguay,Wales,Yugoslavia
10,1978,0.0,0.0,55.0,0.0,33.0,12.0,0.0,0.0,119.0,9.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,34.0,43.0,5.0,110.0,0.0,0.0,2.0,0.0,73.0,0.0,0.0,2.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,21.0,2.0,32.0,0.0,0.0,5.0,6.0,1.0,0.0,12.0,17.0,27.0,17.0,0.0,0.0,12.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,48.0,28.0,0.0,0.0,3.0,10.0,0.0,0.0,12.0,57.0,4.0,45.0
11,1982,5.0,0.0,63.0,0.0,38.0,15.0,0.0,0.0,134.0,9.0,1.0,0.0,26.0,0.0,5.0,0.0,0.0,5.0,0.0,34.0,0.0,0.0,0.0,2.0,1.0,40.0,59.0,5.0,122.0,0.0,0.0,2.0,2.0,85.0,0.0,0.0,2.0,0.0,1.0,74.0,0.0,0.0,0.0,2.0,21.0,2.0,32.0,2.0,0.0,5.0,11.0,1.0,0.0,12.0,19.0,38.0,17.0,0.0,0.0,12.0,37.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,48.0,28.0,0.0,0.0,3.0,10.0,0.0,0.0,12.0,57.0,4.0,47.0
12,1986,6.0,0.0,77.0,0.0,38.0,27.0,0.0,0.0,144.0,11.0,1.0,0.0,26.0,0.0,5.0,0.0,0.0,5.0,0.0,34.0,0.0,10.0,0.0,2.0,1.0,47.0,71.0,5.0,130.0,0.0,0.0,2.0,2.0,87.0,0.0,0.0,2.0,1.0,1.0,79.0,0.0,0.0,0.0,2.0,27.0,5.0,32.0,2.0,0.0,5.0,13.0,1.0,0.0,16.0,19.0,39.0,19.0,0.0,0.0,12.0,49.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,48.0,28.0,0.0,0.0,3.0,10.0,0.0,0.0,12.0,59.0,4.0,47.0
13,1990,6.0,0.0,82.0,0.0,40.0,33.0,0.0,0.0,148.0,11.0,8.0,0.0,26.0,0.0,9.0,4.0,0.0,5.0,0.0,44.0,0.0,10.0,0.0,3.0,1.0,55.0,71.0,5.0,145.0,0.0,0.0,2.0,2.0,87.0,0.0,0.0,2.0,1.0,1.0,89.0,0.0,0.0,0.0,2.0,27.0,5.0,35.0,2.0,0.0,5.0,13.0,1.0,0.0,16.0,19.0,39.0,19.0,0.0,2.0,16.0,53.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,51.0,28.0,0.0,0.0,3.0,10.0,0.0,2.0,14.0,61.0,4.0,55.0
14,1994,6.0,0.0,90.0,0.0,40.0,37.0,1.0,0.0,159.0,21.0,11.0,0.0,26.0,0.0,13.0,4.0,0.0,5.0,0.0,44.0,0.0,10.0,0.0,3.0,1.0,55.0,71.0,5.0,154.0,0.0,0.0,2.0,2.0,87.0,0.0,0.0,2.0,1.0,1.0,97.0,0.0,0.0,0.0,2.0,31.0,7.0,43.0,2.0,7.0,5.0,13.0,2.0,0.0,16.0,19.0,39.0,19.0,0.0,4.0,26.0,60.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,53.0,66.0,33.0,0.0,0.0,3.0,10.0,0.0,2.0,17.0,61.0,4.0,55.0
15,1998,6.0,0.0,100.0,0.0,43.0,40.0,1.0,0.0,173.0,22.0,13.0,0.0,31.0,0.0,14.0,4.0,11.0,5.0,0.0,44.0,0.0,19.0,0.0,3.0,1.0,62.0,86.0,5.0,162.0,0.0,0.0,2.0,2.0,87.0,0.0,0.0,4.0,1.0,1.0,105.0,0.0,3.0,1.0,2.0,39.0,12.0,56.0,2.0,13.0,5.0,13.0,7.0,0.0,19.0,19.0,39.0,19.0,0.0,4.0,30.0,60.0,7.0,25.0,0.0,5.0,0.0,0.0,3.0,11.0,61.0,66.0,33.0,0.0,0.0,4.0,10.0,0.0,2.0,18.0,61.0,4.0,55.0
16,2002,6.0,0.0,102.0,0.0,43.0,46.0,1.0,0.0,191.0,22.0,15.0,0.0,31.0,0.0,14.0,9.0,13.0,5.0,0.0,44.0,0.0,24.0,2.0,3.0,1.0,68.0,86.0,5.0,176.0,0.0,0.0,2.0,2.0,87.0,0.0,0.0,4.0,1.0,1.0,110.0,0.0,3.0,6.0,2.0,43.0,12.0,56.0,2.0,14.0,5.0,13.0,7.0,0.0,25.0,19.0,42.0,25.0,0.0,10.0,30.0,64.0,7.0,25.0,7.0,5.0,0.0,2.0,8.0,19.0,71.0,71.0,33.0,0.0,0.0,5.0,20.0,0.0,2.0,25.0,65.0,4.0,55.0
17,2006,6.0,1.0,113.0,5.0,43.0,46.0,1.0,0.0,201.0,22.0,15.0,0.0,31.0,0.0,14.0,12.0,15.0,5.0,3.0,44.0,0.0,24.0,7.0,3.0,1.0,74.0,95.0,5.0,190.0,4.0,0.0,2.0,2.0,87.0,0.0,0.0,6.0,1.0,1.0,122.0,5.0,3.0,8.0,2.0,48.0,12.0,59.0,2.0,14.0,5.0,13.0,7.0,0.0,27.0,19.0,44.0,32.0,0.0,10.0,30.0,64.0,9.0,25.0,7.0,7.0,0.0,2.0,8.0,22.0,80.0,74.0,37.0,1.0,0.0,8.0,20.0,5.0,2.0,27.0,65.0,4.0,55.0
18,2010,6.0,1.0,123.0,8.0,43.0,46.0,1.0,0.0,210.0,22.0,17.0,0.0,34.0,0.0,14.0,12.0,15.0,5.0,3.0,44.0,0.0,27.0,7.0,3.0,1.0,77.0,96.0,5.0,206.0,9.0,2.0,2.0,2.0,87.0,0.0,0.0,6.0,1.0,1.0,126.0,9.0,3.0,12.0,2.0,52.0,12.0,71.0,4.0,17.0,6.0,13.0,7.0,0.0,30.0,19.0,44.0,39.0,0.0,10.0,30.0,64.0,9.0,25.0,7.0,9.0,5.0,5.0,11.0,28.0,88.0,74.0,38.0,1.0,0.0,8.0,20.0,5.0,2.0,32.0,76.0,4.0,55.0
19,2014,13.0,1.0,131.0,11.0,43.0,52.0,1.0,4.0,221.0,22.0,18.0,0.0,40.0,0.0,26.0,17.0,21.0,5.0,3.0,44.0,0.0,27.0,10.0,3.0,1.0,79.0,106.0,5.0,224.0,13.0,5.0,2.0,3.0,87.0,0.0,0.0,7.0,1.0,1.0,128.0,13.0,3.0,14.0,2.0,57.0,12.0,86.0,4.0,20.0,6.0,13.0,7.0,0.0,30.0,19.0,44.0,43.0,0.0,10.0,30.0,66.0,9.0,25.0,7.0,9.0,5.0,5.0,11.0,31.0,92.0,74.0,45.0,1.0,0.0,8.0,20.0,5.0,2.0,37.0,80.0,4.0,55.0
20,2018,13.0,1.0,137.0,13.0,43.0,68.0,1.0,4.0,229.0,22.0,18.0,0.0,40.0,0.0,32.0,19.0,35.0,5.0,3.0,44.0,0.0,30.0,10.0,5.0,1.0,91.0,120.0,5.0,226.0,13.0,5.0,2.0,3.0,87.0,2.0,0.0,9.0,1.0,1.0,128.0,13.0,3.0,20.0,2.0,60.0,14.0,86.0,4.0,23.0,6.0,13.0,7.0,2.0,30.0,21.0,46.0,49.0,0.0,10.0,30.0,77.0,11.0,25.0,11.0,11.0,5.0,5.0,11.0,34.0,99.0,80.0,50.0,1.0,0.0,13.0,20.0,5.0,2.0,37.0,87.0,4.0,55.0
21,2022,13.0,1.0,142.0,16.0,43.0,69.0,1.0,4.0,232.0,22.0,21.0,2.0,40.0,0.0,32.0,22.0,39.0,5.0,3.0,44.0,0.0,31.0,14.0,5.0,1.0,100.0,126.0,5.0,232.0,18.0,5.0,2.0,3.0,87.0,2.0,0.0,13.0,1.0,1.0,128.0,13.0,3.0,24.0,2.0,62.0,18.0,91.0,4.0,23.0,6.0,13.0,7.0,2.0,30.0,21.0,48.0,54.0,1.0,10.0,30.0,77.0,14.0,25.0,16.0,14.0,5.0,5.0,11.0,36.0,108.0,80.0,51.0,1.0,0.0,14.0,20.0,5.0,2.0,39.0,87.0,5.0,55.0
